Customer_ID,Age,Gender,Income,Loan_Amount,Credit_Score,Account_Tenure,Delayed_Flag
CUST00001,68,Female,41556,69196,607,8,0
CUST00002,26,Female,177964,13331,602,1,0
CUST00003,53,Male,95990,152127,661,7,1
CUST00004,58,Female,152757,217187,662,1,0
CUST00005,38,Male,124194,61443,766,25,0
CUST00006,45,Male,59312,99104,602,12,1
CUST00007,67,Female,46390,145568,685,4,1
CUST00008,39,Female,179714,156349,590,7,1
CUST00009,63,Male,47012,207655,585,10,0
CUST00010,45,Female,61476,123858,669,21,0
CUST00011,43,Male,132040,180682,633,9,1
CUST00012,55,Male,79862,47834,586,15,1
CUST00013,64,Female,92570,225948,688,25,0
CUST00014,41,Female,43414,75186,667,3,0
CUST00015,34,Female,117490,108712,840,21,1
CUST00016,29,Male,104436,200294,623,18,1
CUST00017,58,Female,147311,99895,684,8,0
CUST00018,26,Male,164372,230732,810,4,0
CUST00019,59,Male,145666,105864,631,13,1
CUST00020,37,Male,173704,183332,789,24,0
CUST00021,70,Female,104946,34242,824,10,1
CUST00022,21,Female,153940,136225,630,25,0
CUST00023,61,Female,62894,225638,809,21,0
CUST00024,69,Male,133019,146394,628,25,1
CUST00025,52,Male,119975,34325,550,12,1
CUST00026,36,Male,50184,27453,672,24,1
CUST00027,70,Male,174645,38657,585,22,1
CUST00028,37,Female,78287,60521,831,18,0
CUST00029,63,Female,139593,119845,709,17,1
CUST00030,35,Male,99986,93627,611,1,1
CUST00031,58,Male,95323,6885,833,3,0
CUST00032,23,Female,52668,23574,667,17,0
CUST00033,34,Male,162248,194622,692,19,1
CUST00034,47,Male,158987,29726,674,4,1
CUST00035,47,Female,146038,231449,731,24,0
CUST00036,46,Female,50889,214870,600,4,0
CUST00037,55,Female,84862,41747,648,14,0
CUST00038,36,Male,156275,121164,692,18,0
CUST00039,21,Male,176711,247841,575,25,0
CUST00040,52,Female,141539,61032,635,13,0
CUST00041,21,Female,134345,74521,634,15,1
CUST00042,30,Male,162577,82780,766,7,0
CUST00043,24,Female,177133,19985,846,2,1
CUST00044,31,Male,174231,138124,807,3,0
CUST00045,64,Male,52815,110847,585,4,1
CUST00046,60,Male,45418,114897,676,22,1
CUST00047,41,Female,172044,58545,839,22,0
CUST00048,46,Male,104629,181079,672,21,0
CUST00049,69,Male,117883,7441,784,15,0
CUST00050,34,Female,175937,39722,587,12,0
CUST00051,39,Male,131869,119867,675,18,0
CUST00052,63,Female,37050,249254,820,22,0
CUST00053,28,Male,104328,199620,618,18,0
CUST00054,59,Male,108860,193117,689,11,0
CUST00055,52,Female,167489,242328,685,2,0
CUST00056,23,Male,107530,92439,766,25,0
CUST00057,68,Female,77357,149619,684,23,1
CUST00058,28,Male,37534,236501,837,23,0
CUST00059,44,Male,44444,117666,829,5,0
CUST00060,23,Female,130591,60070,707,22,0
CUST00061,70,Female,127714,167702,602,24,0
CUST00062,32,Female,77598,11497,671,6,0
CUST00063,38,Male,100055,211405,760,23,0
CUST00064,51,Male,45151,57316,745,15,1
CUST00065,35,Male,94662,178023,706,7,1
CUST00066,25,Female,108034,97050,718,21,1
CUST00067,22,Male,121808,234910,824,9,0
CUST00068,23,Male,104590,161387,847,14,0
CUST00069,59,Male,149398,105976,710,19,0
CUST00070,66,Female,46635,5443,680,17,1
CUST00071,48,Male,130478,179125,650,11,0
CUST00072,53,Female,113727,179821,613,14,1
CUST00073,56,Male,112504,55289,756,14,1
CUST00074,46,Male,113892,84658,639,10,0
CUST00075,50,Female,119475,120909,770,22,0
CUST00076,68,Male,159042,177713,811,3,0
CUST00077,26,Male,122867,181369,813,10,0
CUST00078,22,Male,73627,69184,651,16,0
CUST00079,61,Male,143643,193310,783,23,1
CUST00080,36,Male,139766,176981,803,23,0
CUST00081,35,Male,146449,215792,604,23,1
CUST00082,56,Male,48164,245509,787,4,1
CUST00083,63,Female,156803,202984,618,15,1
CUST00084,56,Female,146867,240197,808,6,1
CUST00085,69,Male,102945,225165,780,21,0
CUST00086,61,Male,162034,76984,816,15,0
CUST00087,38,Female,96471,88809,696,18,0
CUST00088,35,Female,74539,186914,620,5,1
CUST00089,47,Female,51837,91738,659,18,1
CUST00090,34,Female,51322,107099,762,25,0
CUST00091,51,Male,134714,97211,844,10,1
CUST00092,68,Male,176091,132986,764,8,0
CUST00093,22,Female,162308,93114,773,22,1
CUST00094,29,Male,157523,242745,634,13,1
CUST00095,26,Female,42104,40572,838,15,0
CUST00096,45,Female,103198,60485,575,15,1
CUST00097,38,Female,134385,71131,722,3,1
CUST00098,24,Female,176405,63778,559,21,0
CUST00099,36,Male,43134,224998,570,1,1
CUST00100,29,Female,97533,180494,628,4,1
